index,时间,开盘,收盘,最高,最低,成交量,成交额,均价
0,2025-10-17 09:30:00,72.7,72.7,72.7,72.7,2118,15397860.0,72.7
1,2025-10-17 09:31:00,72.76,72.83,72.9,72.68,3544,25787647.0,72.742
2,2025-10-17 09:32:00,72.84,72.92,72.98,72.84,2497,18207045.0,72.795
3,2025-10-17 09:33:00,72.89,72.87,72.99,72.85,2580,18811224.0,72.823
4,2025-10-17 09:34:00,72.91,72.96,73.06,72.88,1466,10696011.0,72.84
5,2025-10-17 09:35:00,72.96,73.09,73.09,72.95,1268,9256819.0,72.855
6,2025-10-17 09:36:00,73.08,73.09,73.16,73.06,2050,14984605.0,72.887
7,2025-10-17 09:37:00,73.07,73.03,73.12,73.01,1275,9316777.0,72.901
8,2025-10-17 09:38:00,73.05,73.01,73.07,73.01,1542,11262492.0,72.913
9,2025-10-17 09:39:00,73.01,73.07,73.18,73.01,1911,13972228.0,72.932
10,2025-10-17 09:40:00,73.06,73.19,73.19,73.05,1393,10183791.0,72.943
11,2025-10-17 09:41:00,73.19,73.32,73.35,73.19,2856,20925292.0,72.981
12,2025-10-17 09:42:00,73.32,73.42,73.45,73.32,2206,16186470.0,73.013
13,2025-10-17 09:43:00,73.44,73.46,73.47,73.39,2534,18607265.0,73.049
14,2025-10-17 09:44:00,73.45,73.5,73.59,73.44,6357,46727010.0,73.131
15,2025-10-17 09:45:00,73.53,73.42,73.53,73.42,2599,19101564.0,73.155
16,2025-10-17 09:46:00,73.41,73.37,73.41,73.34,2128,15616587.0,73.168
17,2025-10-17 09:47:00,73.37,73.42,73.5,73.36,2647,19434313.0,73.183
18,2025-10-17 09:48:00,73.36,73.34,73.37,73.26,2384,17477954.0,73.19
19,2025-10-17 09:49:00,73.31,73.32,73.35,73.29,1428,10470804.0,73.194
20,2025-10-17 09:50:00,73.31,73.3,73.37,73.3,1842,13507586.0,73.2
21,2025-10-17 09:51:00,73.31,73.31,73.32,73.26,1657,12145173.0,73.203
22,2025-10-17 09:52:00,73.31,73.13,73.31,73.13,1641,12017227.0,73.204
23,2025-10-17 09:53:00,73.13,73.03,73.14,73.02,1672,12220561.0,73.2
24,2025-10-17 09:54:00,73.02,72.98,73.04,72.98,2446,17857811.0,73.192
25,2025-10-17 09:55:00,72.98,72.93,73.0,72.93,1555,11346176.0,73.186
26,2025-10-17 09:56:00,72.93,72.96,72.99,72.89,1940,14147603.0,73.177
27,2025-10-17 09:57:00,72.96,72.96,73.0,72.96,1372,10011956.0,73.173
28,2025-10-17 09:58:00,72.96,72.99,73.01,72.92,1812,13219252.0,73.166
29,2025-10-17 09:59:00,72.96,72.92,72.97,72.91,1392,10153399.0,73.161
30,2025-10-17 10:00:00,72.91,72.92,72.93,72.91,1076,7845897.0,73.157
31,2025-10-17 10:01:00,72.92,72.89,72.93,72.88,1862,13574497.0,73.15
32,2025-10-17 10:02:00,72.89,72.85,72.89,72.84,1430,10418430.0,73.144
33,2025-10-17 10:03:00,72.85,72.85,72.86,72.83,1729,12592875.0,73.136
34,2025-10-17 10:04:00,72.86,72.82,72.86,72.8,1562,11373581.0,73.129
35,2025-10-17 10:05:00,72.81,72.79,72.81,72.78,1724,12549672.0,73.122
36,2025-10-17 10:06:00,72.8,72.81,72.83,72.79,1190,8663648.0,73.116
37,2025-10-17 10:07:00,72.81,72.79,72.81,72.79,1411,10271444.0,73.111
38,2025-10-17 10:08:00,72.8,72.8,72.8,72.77,923,6717874.0,73.107
39,2025-10-17 10:09:00,72.8,72.81,72.85,72.8,997,7260134.0,73.103
40,2025-10-17 10:10:00,72.73,72.72,72.75,72.71,2559,18616286.0,73.092
41,2025-10-17 10:11:00,72.72,72.69,72.72,72.66,1948,14161329.0,73.082
42,2025-10-17 10:12:00,72.67,72.73,72.74,72.66,1293,9398970.0,73.076
43,2025-10-17 10:13:00,72.72,72.7,72.72,72.68,886,6441172.0,73.072
44,2025-10-17 10:14:00,72.69,72.77,72.77,72.69,709,5155889.0,73.069
45,2025-10-17 10:15:00,72.77,72.8,72.81,72.77,846,6158053.0,73.067
46,2025-10-17 10:16:00,72.8,72.79,72.82,72.77,1063,7737529.0,73.063
47,2025-10-17 10:17:00,72.79,72.75,72.81,72.75,1245,9062238.0,73.06
48,2025-10-17 10:18:00,72.73,72.74,72.75,72.72,399,2902116.0,73.058
49,2025-10-17 10:19:00,72.74,72.7,72.75,72.66,2127,15461564.0,73.05
